RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price,Maximum Price
320,,,,,,,
321,Nissan,Pathfinder,1997,17,20,"1,400","3,375"
322,Volkswagen,Beetle,2001,2121,2729,,
323,Honda,Accord,2002,20,28,"4,200","6,775"
324,Hyundai,Accent,2003,26,33,"3,375","3,825"
325,Chevrolet,Impala,2001,20,30,"3,300","4,275"
326,Honda,Accord,1999,20,28,"3,275","4,950"
327,Dodge,Durango,2004,13,18,"8,600","10,500"
328,Dodge,Ram 1500,2007,,,,
329,Nissan,Maxima,1998,22,27,"1,850","2,725"
330,Toyota,Matrix,2004,22,29,"6,850","7,850"
331,Volkswagen,Beetle,2003,2121,2729,,
332,Honda,Civic,1996,30,36,"1,650","2,750"
333,Honda,Odyssey,2002,18,25,"6,150","7,100"
334,Scion,XB,2005,31,34,"9,200","13,730"
335,Hyundai,Santa Fe,2004,,,,
336,Toyota,Prius,2009,48,45,"15,350","16,600"
337,Honda,Civic,1996,30,36,"1,650","2,750"
338,Kia,Sportage,2007,19,23,"9,750","12,100"
339,Nissan,Altima,2009,18,26,"13,250","18,250"
340,Ford,Taurus,2004,18,25,"4,900","6,425"
341,Jeep,Liberty,2005,17,22,"8,625","9,750"
342,Saab,9-3',2005,,,,
343,Chevrolet,Cavalier,1998,22,32,"2,275","4,100"
344,Toyota,Corolla,2008,26,35,"10,800","11,700"
345,Chevrolet,Impala,,,,,
346,Ford,Explorer,2006,14,20,"8,175","14,400"
347,Pontiac,G6,2005,21,29,"6,900","8,475"
348,Chevrolet,Tahoe,2004,14,18,"11,450","12,750"
349,Mitsubishi,Eclipse,2006,18,27,"9,425","9,600"
350,Mini,Cooper,2008,22,30,,
351,Honda,Insight,2001,57,56,"4,850","18,980"
352,,,,,,,
353,Toyota,4Runner,2001,16,19,"6,950","8,025"
354,Honda,Civic,2009,21,29,"10,450","17,100"
355,Honda,Civic,2008,21,29,"9,925","20,900"
356,Toyota,Camry,2008,19,28,"12,550","16,550"
357,Toyota,4Runner,2001,16,19,"6,950","8,025"
358,Acura,TSX,2006,21,30,"13,150","23,400"
359,Hyundai,Santa Fe,2002,,,,
360,Kia,Sportage,2007,19,23,"9,750","12,100"
361,Toyota,Camry,2008,19,28,"12,550","16,550"
362,Hyundai,Accent,1999,28,37,"2,550","2,775"
363,Buick,Century,2002,20,29,"5,000","143,085"
364,,,,,,,
365,Chevrolet,Cobalt,2009,22,30,"8,225","14,450"
366,Ford,Probe,1989,,,,
367,Honda,Element,2006,21,24,"10,100","12,750"
368,Cadillac,CTS,2010,16,25,"18,900","20,100"
369,Chevrolet,Impala,2008,16,24,"11,400","15,700"
370,Mitsubishi,Galant,2001,20,27,"2,300","4,625"
371,Ford,Expedition,2007,14,17,"16,200","20,800"
372,Chrysler,Concorde,1999,19,29,"3,350","21,740"
373,Honda,CRV,1999,,,,
374,Ford,Fusion,2011,17,24,"13,800","18,400"
375,,,,,,,
376,Ford,Ranger,2007,15,19,"6,375","16,450"
377,Mercury,Mariner,2006,19,23,"10,050","10,400"
378,Honda,Civic,1999,26,31,"2,350","5,375"
379,Buick,LeSabre,2000,19,30,"3,875","4,775"
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,Toyota,Solara,2007,,,,
384,Honda,CRV,1997,,,,
385,Hyundai,Santa Fe,2005,,,,
386,Mitsubishi,Outlander,2010,18,24,"13,950","20,800"
387,Lincoln,Town Car,2002,,,,
388,Infiniti,G35,2006,18,25,"15,150","15,150"
389,Honda,Civic,2005,26,31,"7,325","10,100"
390,Oldsmobile,Alero,2002,20,29,"3,650","4,825"
391,,,,,,,
392,Honda,Civic,1997,29,34,"1,625","2,825"
393,Mazda,B2300,1996,22,27,"1,925","3,125"
394,Nissan,Titan,2005,10,13,"9,600","14,300"
395,Toyota,Corolla,2005,26,34,"7,950","9,275"
396,Toyota,Corolla,1990,,,,
397,Toyota,Corolla,2009,22,30,"11,750","15,350"
398,Saturn,Vue,2007,19,25,"8,925","5,875"
399,Chrysler,P.T. Cruiser,2004,,,,
400,,,,,,,
401,Lexus,ES300,1996,,,,
402,Hyundai,Elantra,2005,24,32,"5,550","6,450"
403,BMW,M3,2011,13,20,"51,400","58,700"
404,Ford,Explorer,2000,14,20,"2,775","4,225"
405,Honda,Odyssey,2003,18,25,"6,550","8,825"
406,Ford,Escort,2000,25,33,"2,400","2,775"
407,Nissan,Altima,1997,23,30,"2,100","3,325"
408,Pontiac,Sunfire,1997,22,32,"2,225","3,675"
409,Mercury,Cougar,1995,14,14,"3,150","16,860"
410,Cadillac,CTS,2005,17,27,"12,500","12,500"
411,Mazda,6,2004,,,,
412,Honda,Accord EX,1996,,,,
413,Mini,Cooper,2003,25,32,,
414,Suzuki,Vitara,2002,22,25,"4,925","5,825"
415,Jeep,Wrangler,1999,15,18,"5,000","6,425"
416,Mitsubishi,Lancer,2006,22,28,,
417,Ford,Focus,2005,23,32,"5,475","7,800"
418,Buick,Rendezvous,2002,18,24,"3,750","4,675"
419,Chevrolet,Half Ton,1991,,,,
