RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price Bluebook,Maximum Price Bluebook,Mean Price New
48,Acura,Integra,1998,25,31,"3,025","7,725",20506
49,Chevrolet,Silverado,2007,,,,,
50,Nissan,Titan,2005,10,13,"9,600","14,300",28800
51,Toyota,Highlander,2004,18,22,"10,450","11,800",27241
52,Nissan,Versa,2011,24,31,"10,350","13,950",14792
53,Infiniti,M35x,2010,,,,,
54,Toyota,Corolla,2001,29,33,"4,000","4,450",12914
55,Toyota,Camry,2005,20,28,"9,200","12,300",21717
56,Chevrolet,Impala,2001,20,30,"3,300","4,275",21986
57,,,,,,,,
58,Honda,Civic,2001,30,38,"3,900","5,425",14631
59,Toyota,Camry,1998,19,27,"3,150","3,675",21048
60,Subaru,Forester,2010,19,24,"17,450","22,100",24815
61,Chevrolet,Impala,2008,16,24,"11,400","15,700",25371
62,Chevrolet,Malibu,2003,20,29,"6,700","7,600",19325
63,Audi,A4,1999,19,27,"3,125","4,250",27415
64,Mercury,Sable,2003,19,26,"4,175","5,500",22391
65,Nissan,Titan,2004,14,18,"8,825","12,700",28016
66,Honda,Civic,1998,30,35,"1,925","3,475",13493
67,Toyota,RAV4,2008,19,25,"14,500","17,350",24454
68,Toyota,Corolla,1992,10,10,"9,718","10,738",
69,Mazda,Protege,1999,26,30,"2,000","2,825",13408
70,Chevrolet,Equinox,2010,17,24,"17,000","22,500",25872
71,Honda,Civic,2004,26,30,"5,900","9,200",15790
72,Jeep,Grand Cherokee,2003,,,,,
73,Dodge,Caravan,1996,18,24,"2,375","3,825",19575
74,Honda,Civic,2000,30,35,"3,000","5,500",14096
75,Toyota,Celica,2000,23,32,"4,175","5,175",19110
76,Chevrolet,Impala,2008,16,24,"11,400","15,700",25371
77,Chrysler,P.T. Cruiser,2001,,,,,
78,Chevrolet,Classic,2004,,,,,
79,Mercury,Cougar,2000,20,28,"2,525","16,540",16790
80,Nissan,Altima,2005,20,27,"8,075","12,850",23300
81,Subaru,Outback,2008,17,24,"15,100","20,000",27228
82,Infiniti,G35x,2009,,,,,
83,Mitsubishi,Galant,2003,20,27,"3,325","5,825",21002
84,Ford,Explorer,2008,13,19,"16,450","20,500",32091
85,Hyundai,Elantra,2007,28,36,"9,750","10,450",15395
86,Honda,Civic,2006,23,32,"8,550","12,500",18023
87,Ford,Focus,2005,23,32,"5,475","7,800",16112
88,Nissan,Altima,2006,20,27,"8,325","13,500",23600
89,,,,,,,,
90,,,,,,,,
91,Toyota,Corolla,2009,22,30,"11,750","15,350",17006
92,Honda,Civic,2006,23,32,"8,550","12,500",18023
93,Ford,Ranger,1994,16,20,"3,350","4,875",14395
94,Dodge,Neon,2005,25,32,"13,800","16,110",14955
95,,,,,,,,
96,Ford,Mustang,2000,17,24,"5,300","7,925",21233
97,Chrysler,300m,2000,,,"3,875",,29185
98,Jeep,Wrangler,1999,15,18,"5,000","6,425",17461
99,Suzuki,XL7,2003,17,20,"5,300","6,200",22765
100,Dodge,Stratus,2004,20,27,"3,675","6,075",20823
101,Ford,Windstar,2000,17,23,"3,125","4,850",27945
102,Cadillac,CTS,2010,16,25,"18,900","20,100",60720
103,Volkswagen,Beetle,2006,2121,2729,,,
104,Honda,Civic,2008,21,29,"9,925","20,900",19774
105,Ford,Mustang,2003,16,22,"5,950","17,800",27421
106,Honda,Hatchback,1992,,,,,
107,Saturn,L300,2004,,,,,
108,Toyota,Corolla,1997,29,34,"3,225","3,575",13394
109,Ford,Focus,2003,21,25,"4,350","6,350",15656
110,Chevrolet,Lumina,2002,1.92E+15,2.93E+15,"2,425,225,022,252,100,000,000,000,000","2,800,262,525,252,300,000,000,000,000",
111,Honda,Pilot,2003,17,22,"7,275","9,925",28896
112,Ford,Fusion,2006,21,29,"8,625","10,550",19273
113,,,,,,,,
114,Dodge,Neon,2001,24,31,"3,175","4,325",12715
115,Honda,Civic,2010,21,29,"11,050","19,200",19330
116,Honda,Civic,2004,26,30,"5,900","9,200",15790
117,Toyota,Prius,2009,48,45,"15,350","16,600",23215
118,Dodge,Caliber,2007,23,26,"8,400","11,200",16885
119,Dodge,Neon,2002,24,31,"2,675","4,400",14595
120,Toyota,Camry,1996,20,27,"2,375","3,525",21815
121,Toyota,Camry,2001,20,27,"4,700","5,225",22481
122,Chevrolet,Prizm,2001,29,33,"2,425","2,975",15187
123,Mercury,Topaz,1994,20,23,"2,300","10,470",
124,Volkswagen,Jetta,2002,19,26,"4,100","6,850",20870
125,Kia,Rio,2002,25,30,"2,750","3,125",10385
126,Ford,Focus,2006,22,31,"6,125","8,650",15508
127,Kia,Rio,2011,27,34,"9,825","14,050",14461
128,Ford,Taurus,2001,18,26,"3,400","4,525",20390
129,Chevrolet,Cavalier,1998,22,32,"2,275","4,100",14342
130,Ford,Explorer,1994,16,16,"2,450","2,575",
131,Mercury,Mariner,2006,19,23,"10,050","10,400",24108
132,Chevrolet,Cavalier,2001,21,28,"3,025","5,675",14955
133,Volkswagen,Rabbit,2009,20,29,"11,400","14,450",17820
134,Kia,Spectra,2009,23,30,"10,050","13,550",15183
135,Honda,Civic,1998,30,35,"1,925","3,475",13493
136,,,,,,,,
137,Ford,Focus,2011,25,34,"12,400","14,950",18112
138,Toyota,Celica GT,1991,,,,,
139,Kia,Spectra,2003,22,30,"3,400","4,375",12676
140,Hyundai,i20,2009,,,,,
141,Honda,CRV,2000,,,,,
142,Ford,Focus,2003,21,25,"4,350","6,350",15656
143,Mitsubishi,Lancer,2002,24,30,"4,475","4,750",15477
144,Volkswagen,Golf,1999,24,31,"2,625","4,125",16211
145,Honda,Civic,1998,30,35,"1,925","3,475",13493
146,Mazda,626,2002,20,26,"4,600","6,225",20218
147,Ford,Explorer,2004,15,19,"5,725","8,700",32680
148,Ford,Aspire,1995,36,42,"2,075","2,325",
149,Saturn,SL,1999,29,40,"11,295",,10595
150,Mitsubishi,Diamante,2000,17,25,"3,300","4,025",26447
151,Oldsmobile,Alero,2001,21,29,"3,200","4,325",19280
152,Mitsubishi,Eclipse,2001,20,27,"17,987","18,797",24407
153,Dodge,Caravan,2006,19,26,"5,025","6,750",20426
154,BMW,Z4,2003,20,28,"13,300","14,450",36675
155,Toyota,Corolla,1999,31,38,"3,450","4,000",13371
156,Ford,F150,1999,13,16,"3,175","8,275",22654
157,Pontiac,Sunfire,1997,22,32,"2,225","3,675",14219
158,Nissan,Altima,2006,20,27,"8,325","13,500",23600
159,Honda,CRV,2008,,,,,
160,,,,,,,,
161,Ford,Escape,2007,19,23,"8,025","12,900",23100
162,Volkswagen,Golf,1989,,,,,
163,Saturn,Coupe,2000,,,,,
164,Pontiac,Grand Prix,1992,,,,,
165,Nissan,Quest,2000,17,24,"4,600","6,275",24939
166,,,,,,,,
167,Mercedes,SLK 280,2006,,,,,
168,Chevrolet,Cavalier,1996,22,32,"2,125","3,075",13332
169,Jeep,Cherokee,1996,15,19,"3,150","3,750",18669
170,Infiniti,I30,1997,,,"3,475",,28800
171,Mitsubishi,Eclipse,1993,20,25,"2,625","4,225",15843
172,,,,,,,,
173,Ford,Taurus,2003,19,26,"4,175","5,550",21763
174,Buick,Regal,2004,20,30,"6,350","7,625",24530
175,Chevrolet,Cavalier,2003,24,32,"3,625","4,550",15563
176,Jeep,Grand Cherokee,1998,,,,,
177,Jeep,Liberty,2004,16,21,"7,450","8,350",22331
178,Mercury,Sable,1995,20,30,"2,425","2,975",19902
179,Saturn,Vue,2005,19,25,"6,825","9,875",21436
180,Toyota,Corolla,2009,22,30,"11,750","15,350",17006
181,Ford,Thunderbird LX,1987,,,,,
182,Toyota,Camry,2001,20,27,"4,700","5,225",22481
183,,,,,,,,
184,Ford,Edge,2010,17,23,"16,550","24,800",32584
185,Nissan,Altima,1999,24,31,"3,350","4,575",16890
186,Honda,CRV,2008,,,,,
187,Saturn,Station Wagon,1990,,,,,
188,Dodge,Caliber,2008,19,24,"9,725","14,000",19304
189,Honda,Accord,2000,20,28,"3,450","5,200",20802
190,,,,,,,,
191,Toyota,Camry,2010,19,28,"14,400","17,950",23969
192,GMC,Vandura,1997,12161419,15211919,"215,020,751,950","235,022,252,175",
193,Honda,Civic,2010,21,29,"11,050","19,200",19330
194,Mitsubishi,Outlander,2004,20,26,"7,425","8,325",20249
195,Honda,Civic,2006,23,32,"8,550","12,500",18023
196,Kia,Optima,2006,22,30,"6,800","9,250",19233
197,Honda,Pilot,2004,17,22,"8,700","11,650",29146
198,Mazda,3 Sport,2010,,,,,
199,Honda,Civic,2007,23,32,"9,075","15,300",18658
200,Toyota,Prius,2007,60,51,"12,000","14,600",22622
201,Toyota,Corolla,1994,27,34,"2,875","3,350",13194
202,Mitsubishi,Galant,2005,19,27,"6,650","10,050",21779
203,Buick,Century,2005,20,30,"7,025","22,040",22040
204,Ford,Fusion,2007,19,26,"9,050","11,500",20778
205,,,,,,,,
206,Pontiac,Sunfire,2002,23,32,"4,075","4,700",16186
207,BMW,740il,2000,,,,,
208,Ford,Mustang,1995,17,25,"5,025","9,650",18667
209,,,,,,,,
210,Honda,CRV,2000,,,,,
211,Ford,Fusion,2009,17,25,"12,000","15,450",22531
212,Dodge,Dart,1965,,,,,
213,Hyundai,Elantra,2000,23,32,"2,825","3,175",12149
214,Toyota,Corolla,1999,31,38,"3,450","4,000",13371
215,Lexus,ES330,2004,,,,,
216,Mazda,RX-8,2004,18,24,"6,825","23,500",25930
217,Buick,LeSabre,1999,19,30,"3,200","4,125",24555
218,Honda,Pilot,2006,17,22,"11,700","15,300",30061
219,Dodge,Ram 1500,1998,,,,,
220,Chevrolet,Cavalier,1997,22,32,"2,250","3,200",13357
221,Honda,Pilot,2007,17,22,"14,200","17,450",30211
222,Ford,Explorer,2007,14,20,"12,450","17,050",30300
223,Chrysler,Town & Country,2001,,,,,
224,Ford,F150,1999,13,16,"3,175","8,275",22654
225,Chevrolet,Avalanche,2008,12,17,"23,400","27,400",35540
226,Mercury,Grand Marquis,2002,,,,,
227,Mitsubishi,Outlander,2004,20,26,"7,425","8,325",20249
228,Audi,Q5,2011,18,23,"31,000","37,300",38850
229,Ford,Escape,2002,18,23,"3,100","5,425",22387
230,Honda,Civic,2001,30,38,"3,900","5,425",14631
231,Honda,Civic VP,2004,,,,,
232,Ford,Explorer,2005,14,18,"7,125","10,550",33128
233,,,,,,,,
234,Pontiac,Grand Prix,2007,,,,,
235,Nissan,Altima,1996,24,30,"1,925","3,000",18236
236,Ford,Crown Victoria,1996,,,,,
237,Honda,Accord,2004,20,30,"7,300","10,900",22420
238,Honda,Accord,2000,20,28,"3,450","5,200",20802
239,Pontiac,Sunfire,1998,22,32,"2,325","4,025",15595
240,Mazda,CX7,2009,,,,,
241,Acura,CL,2001,19,29,"5,325","6,250",29155
242,Subaru,Impreza,2000,21,28,"3,050","4,800",17335
243,Chevrolet,Impala LS,2002,,,,,
244,Toyota,Corolla,2007,30,38,"9,675","10,450",15056
245,Toyota,Prius,2010,51,48,"16,100","22,795",24534
246,Toyota,Celica,1992,20,20,"13,918","16,378",
247,Toyota,Camry,1998,19,27,"3,150","3,675",21048
248,Ford,Taurus,2004,18,25,"4,900","6,425",22055
249,Hyundai,Elantra,2003,24,33,"4,825","5,375",13932
250,Honda,CRV,2009,,,,,
251,,,,,,,,
252,Mitsubishi,Lancer,2009,17,25,,,18650
253,Chevrolet,Cavalier,1999,22,29,"2,225","4,625",14521
254,Dodge,Caravan,1997,17,23,"2,650","4,050",23648
255,Ford,F150,1997,13,17,"2,925","6,675",20748
256,Ford,Taurus,1997,17,25,"2,425","4,550",21358
257,Nissan,Altima,2000,21,28,"3,975","5,175",17627
258,Hyundai,Tiburon,2009,1.62E+17,2.43E+17,"8,450,702,558,504,900,000,000,000,000,000,000,000,000","117,501,010,081,756,000,000,000,000,000,000,000,000,000",
259,Chevrolet,Cobalt,2006,23,29,"6,825","10,050",15864
260,Chrysler,Plymouth,2004,,,,,
261,Nissan,Sentra,2002,22,28,"4,425","5,775",14949
262,Dodge,Stratus,2001,19,27,"1,900","4,375",19227
263,Ford,Taurus,1997,17,25,"2,425","4,550",21358
264,Ford,Ranger,1999,15,19,"3,500","6,050",15717
265,Acura,TL,2003,19,29,"6,600","7,325",30155
266,Toyota,Prius,2007,60,51,"12,000","14,600",22622
267,Pontiac,Montana,2000,19,26,"4,175","4,750",24583
268,Honda,Element,2010,19,24,"17,900","21,200",22628
269,Lexus,ES300,2000,,,,,
270,Honda,Civic,2006,23,32,"8,550","12,500",18023
271,Nissan,Pathfinder,2003,15,19,"4,900","6,100",30124
272,Nissan,Frontier,2002,15,18,"6,775","9,800",21961
273,,,,,,,,
274,,,,,,,,
275,Honda,Accord,2004,20,30,"7,300","10,900",22420
276,Toyota,Camry,2000,19,27,"3,800","4,275",19938
277,Pontiac,Grand Prix,2000,,,,,
278,Dodge,Caliber,2007,23,26,"8,400","11,200",16885
279,Honda,Accord,1996,19,25,"2,525","3,750",19833
280,Jeep,Grand Cherokee,2006,,,,,
281,Toyota,Camry,2005,20,28,"9,200","12,300",21717
282,Plymouth,Breeze,1998,,,"2,900",,14800
283,Mini,Cooper S,2003,,,,,
284,Chrysler,P.T. Cruiser,2005,,,,,
285,Honda,Civic,2007,23,32,"9,075","15,300",18658
286,Toyota,Camry,2006,20,28,"10,600","15,850",21967
287,Volkswagen,GTI,2001,20,28,"3,825","4,750",21087
288,Toyota,Sienna,2001,19,25,"3,350","4,650",26032
289,Ford,Expedition,2003,13,17,"6,275","8,650",36762
290,Honda,Odyssey,2007,18,25,"11,000","19,000",30582
291,Mazda,CX9,2007,,,,,
292,Toyota,Sienna,2007,18,23,"12,750","19,400",30816
293,Toyota,Land Cruiser,1995,,,,,
294,Ford,Ranger,1999,15,19,"3,500","6,050",15717
295,Honda,Civic,1996,30,36,"1,650","2,750",13136
296,Mazda,CX7,2007,,,,,
297,Toyota,Echo,2000,,,"3,350","3,700",10395
298,Toyota,Corolla,2003,29,38,"6,750","7,375",14255
299,,,,,,,,
300,Toyota,Corolla,2006,26,34,"8,650","10,350",15612
301,Volkswagen,Jetta,2001,19,26,"16,700","16,700",18935
302,Toyota,Camry,2006,20,28,"10,600","15,850",21967
303,Toyota,Sienna,1999,18,24,"2,125","3,200",23729
304,Honda,Civic,2006,23,32,"8,550","12,500",18023
305,Ford,Focus,2001,25,31,"4,500","5,725",14768
306,Audi,A4,1998,18,29,"2,875","3,100",28421
307,Ford,Explorer,2004,15,19,"5,725","8,700",32680
308,Toyota,Camry,1992,12,12,"14,798","16,898",
309,Jeep,Wrangler,1998,15,17,"4,650","6,000",17211
310,Kia,Sephia,2001,21,29,"2,600","3,075",11645
311,Toyota,Corolla,1997,29,34,"3,225","3,575",13394
312,Hyundai,Sonata,2006,20,30,"8,575","9,800",20095
313,Honda,Accord,2009,17,25,"13,800","17,250",24810
314,Lincoln,MKX,2010,15,22,"25,200","63,215",39770
315,Toyota,Corolla,1996,29,34,"3,150","3,825",13898
316,,,,,,,,
317,Subaru,Forester,2005,19,23,"8,675","12,500",24420
318,Toyota,Corolla,1999,31,38,"3,450","4,000",13371
319,Ford,Mustang,2002,17,24,"6,050","8,800",23265
320,,,,,,,,
321,Nissan,Pathfinder,1997,17,20,"1,400","3,375",25249
322,Volkswagen,Beetle,2001,2121,2729,,,
323,Honda,Accord,2002,20,28,"4,200","6,775",20923
324,Hyundai,Accent,2003,26,33,"3,375","3,825",10974
325,Chevrolet,Impala,2001,20,30,"3,300","4,275",21986
326,Honda,Accord,1999,20,28,"3,275","4,950",20642
327,Dodge,Durango,2004,13,18,"8,600","10,500",30728
328,Dodge,Ram 1500,2007,,,,,
329,Nissan,Maxima,1998,22,27,"1,850","2,725",22499
330,Toyota,Matrix,2004,22,29,"6,850","7,850",17032
331,Volkswagen,Beetle,2003,2121,2729,,,
332,Honda,Civic,1996,30,36,"1,650","2,750",13136
333,Honda,Odyssey,2002,18,25,"6,150","7,100",26416
334,Scion,XB,2005,31,34,"9,200","13,730",13730
335,Hyundai,Santa Fe,2004,,,,,
336,Toyota,Prius,2009,48,45,"15,350","16,600",23215
337,Honda,Civic,1996,30,36,"1,650","2,750",13136
338,Kia,Sportage,2007,19,23,"9,750","12,100",20112
339,Nissan,Altima,2009,18,26,"13,250","18,250",23597
340,Ford,Taurus,2004,18,25,"4,900","6,425",22055
341,Jeep,Liberty,2005,17,22,"8,625","9,750",22608
342,Saab,9-3',2005,,,,,
343,Chevrolet,Cavalier,1998,22,32,"2,275","4,100",14342
344,Toyota,Corolla,2008,26,35,"10,800","11,700",15156
345,Chevrolet,Impala,,,,,,
346,Ford,Explorer,2006,14,20,"8,175","14,400",31399
347,Pontiac,G6,2005,21,29,"6,900","8,475",21987
348,Chevrolet,Tahoe,2004,14,18,"11,450","12,750",36150
349,Mitsubishi,Eclipse,2006,18,27,"9,425","9,600",21549
350,Mini,Cooper,2008,22,30,,,20000
351,Honda,Insight,2001,57,56,"4,850","18,980",20080
352,,,,,,,,
353,Toyota,4Runner,2001,16,19,"6,950","8,025",31192
354,Honda,Civic,2009,21,29,"10,450","17,100",19180
355,Honda,Civic,2008,21,29,"9,925","20,900",19774
356,Toyota,Camry,2008,19,28,"12,550","16,550",23072
357,Toyota,4Runner,2001,16,19,"6,950","8,025",31192
358,Acura,TSX,2006,21,30,"13,150","23,400",27890
359,Hyundai,Santa Fe,2002,,,,,
360,Kia,Sportage,2007,19,23,"9,750","12,100",20112
361,Toyota,Camry,2008,19,28,"12,550","16,550",23072
362,Hyundai,Accent,1999,28,37,"2,550","2,775",
363,Buick,Century,2002,20,29,"5,000","143,085",22050
364,,,,,,,,
365,Chevrolet,Cobalt,2009,22,30,"8,225","14,450",17419
366,Ford,Probe,1989,,,,,
367,Honda,Element,2006,21,24,"10,100","12,750",19866
368,Cadillac,CTS,2010,16,25,"18,900","20,100",60720
369,Chevrolet,Impala,2008,16,24,"11,400","15,700",25371
370,Mitsubishi,Galant,2001,20,27,"2,300","4,625",20837
371,Ford,Expedition,2007,14,17,"16,200","20,800",35445
372,Chrysler,Concorde,1999,19,29,"3,350","21,740",21740
373,Honda,CRV,1999,,,,,
374,Ford,Fusion,2011,17,24,"13,800","18,400",25318
375,,,,,,,,
376,Ford,Ranger,2007,15,19,"6,375","16,450",18455
377,Mercury,Mariner,2006,19,23,"10,050","10,400",24108
378,Honda,Civic,1999,26,31,"2,350","5,375",13996
379,Buick,LeSabre,2000,19,30,"3,875","4,775",25642
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,Toyota,Solara,2007,,,,,
384,Honda,CRV,1997,,,,,
385,Hyundai,Santa Fe,2005,,,,,
386,Mitsubishi,Outlander,2010,18,24,"13,950","20,800",24312
387,Lincoln,Town Car,2002,,,,,
388,Infiniti,G35,2006,18,25,"15,150","15,150",33250
389,Honda,Civic,2005,26,31,"7,325","10,100",16040
390,Oldsmobile,Alero,2002,20,29,"3,650","4,825",20221
391,,,,,,,,
392,Honda,Civic,1997,29,34,"1,625","2,825",13380
393,Mazda,B2300,1996,22,27,"1,925","3,125",12658
394,Nissan,Titan,2005,10,13,"9,600","14,300",28800
395,Toyota,Corolla,2005,26,34,"7,950","9,275",15287
396,Toyota,Corolla,1990,,,,,
397,Toyota,Corolla,2009,22,30,"11,750","15,350",17006
398,Saturn,Vue,2007,19,25,"8,925","5,875",20978
399,Chrysler,P.T. Cruiser,2004,,,,,
400,,,,,,,,
401,Lexus,ES300,1996,,,,,
402,Hyundai,Elantra,2005,24,32,"5,550","6,450",14149
403,BMW,M3,2011,13,20,"51,400","58,700",60783
404,Ford,Explorer,2000,14,20,"2,775","4,225",32824
405,Honda,Odyssey,2003,18,25,"6,550","8,825",26566
406,Ford,Escort,2000,25,33,"2,400","2,775",12010
407,Nissan,Altima,1997,23,30,"2,100","3,325",17649
408,Pontiac,Sunfire,1997,22,32,"2,225","3,675",14219
409,Mercury,Cougar,1995,14,14,"3,150","16,860",
410,Cadillac,CTS,2005,17,27,"12,500","12,500",49490
411,Mazda,6,2004,,,,,
412,Honda,Accord EX,1996,,,,,
413,Mini,Cooper,2003,25,32,,,16425
414,Suzuki,Vitara,2002,22,25,"4,925","5,825",16899
415,Jeep,Wrangler,1999,15,18,"5,000","6,425",17461
416,Mitsubishi,Lancer,2006,22,28,,,16649
417,Ford,Focus,2005,23,32,"5,475","7,800",16112
418,Buick,Rendezvous,2002,18,24,"3,750","4,675",27210
419,Chevrolet,Half Ton,1991,,,,,
420,Honda,Pilot,2003,17,22,"7,275","9,925",28896
421,Ford,Aerostar,1993,15,20,"1,850","1,975",18641
422,Honda,Civic,2007,23,32,"9,075","15,300",18658
423,Saturn,SW10,1999,,,,,
424,Hyundai,Elantra,2004,24,32,"5,050","5,675",14332
425,,,,,,,,
426,Nissan,Maxima,1993,21,26,"1,325","21,110",22325
427,Toyota,Sienna,2009,16,21,"15,700","25,500",30797
428,Mazda,3,2009,,,,,
429,Toyota,Prius,2009,48,45,"15,350","16,600",23215
430,,,,,,,,
431,Kia,Sorento,2010,1.82E+21,2.42E+21,"18,650,117,001,065,000,000,000,000,000,000,000","2,600,014,550,140,000,000,000,000,000,000,000,000",
432,,,,,,,,
433,Toyota,Camry,2003,21,29,"7,375","8,675",22024
434,Jaguar,S-type,2006,17,23,"9,050","15,300",53496
435,Toyota,Camry,2007,22,31,"12,200","16,450",22972
436,Toyota,Sienna,2000,18,24,"2,650","4,075",24564
437,Ford,Explorer Sport,2001,,,,,
438,Honda,Civic,2003,26,30,"4,600","8,025",15796
439,Scion,XB,2011,22,28,"15,700","17,450",17202
440,Chevrolet,Cavalier,2000,22,29,"2,450","5,450",14479
441,Saturn,SL1,96,,,,,
442,Ford,Fusion,2010,17,24,"13,350","17,650",24758
443,,,,,,,,
444,Honda,Accord,1998,20,28,"2,900","4,425",20520
445,Hyundai,i20,2008,,,,,
446,Ford,Bronco,1995,13,17,"4,575","18,630",23116
447,Acura,TL,2003,19,29,"6,600","7,325",30155
448,Hyundai,Accent,2009,26,33,"8,900","10,150",13020
449,Nissan,Sentra,3,,,,,
450,Honda,Fit,2010,27,33,"13,650","15,400",15655
451,Ford,Explorer,2003,14,19,"4,550","6,750",32352
452,GMC,Yukon XL,2007,,,,,
453,Ford,Taurus,2001,18,26,"3,400","4,525",20390
454,Cadillac,Deville,1987,,,,,
455,BMW,F25,2010,,,,,
456,Chevrolet,S10,2001,,,,,
457,Ford,Mustang,2004,17,23,"6,100","21,300",26294
458,Honda,Civic,1986,,,,,
459,Toyota,Camry,2009,19,28,"13,800","17,200",23647
460,Ford,Minivan,2001,,,,,
461,Mazda,Tribute,2005,18,22,"4,975","7,150",22232
462,GMC,Jimmy,1986,,,,,
463,Chevrolet,Camaro,1979,,,,,
464,BMW,Z4,2003,20,28,"13,300","14,450",36675
465,Scion,XB,2006,30,33,"9,600","14,030",14030
466,Chevrolet,Malibu,2007,22,32,"15,995","19,995",19867
467,Mercedes,D200,1985,,,,,
468,BMW,X3,2003,1.92E+21,2.63E+21,"325,002,910,025,000,000,000,000,000,000,000,000,000","3,600,025,000,171,000,000,000,000",
469,Porsche,Boxster,2003,17,26,"13,950","21,500",47100
470,Toyota,Corolla,2008,26,35,"10,800","11,700",15156
471,Chevrolet,Impala,2005,19,28,"6,550","9,525",25455
472,Dodge,Intrepid,2003,19,27,"4,000","5,350",22815
473,Oldsmobile,Cutlass,2000,202020,292929,"26,002,350","31,252,800",
474,,,,,,,,
475,,,,,,,,
476,Toyota,Camry Hybrid,2007,,,,,
477,Ford,Fusion,1992,2.22E+17,3.13E+17,"1,380,013,350,120,000,000,000,000,000","184,001,765,015,450,000,000,000,000,000",
478,Chevrolet,Impala,2008,16,24,"11,400","15,700",25371
479,Chrysler,Concorde,2000,19,27,"3,500","4,425",24365
480,Saturn,SL,2000,29,40,,,10685
481,Dodge,Grand Caravan,2004,,,,,
482,Pontiac,Grand Prix,2002,,,,,
483,,,,,,,,
484,Cadillac,STS,2005,16,22,"10,750","19,100",43775
485,Mercury,Sable,1998,18,26,"2,900","3,675",20855
486,Toyota,RAV4,2003,,,"8,725","86,368",17325
487,Nissan,Sentra,2002,22,28,"4,425","5,775",14949
488,Honda,Accord,2004,20,30,"7,300","10,900",22420
489,Mitsubishi,Eclipse,2003,20,27,"18,167","19,177",20767
490,Toyota,Camry,2005,20,28,"9,200","12,300",21717
491,Saturn,SL1,2002,,,,,
492,Toyota,Tacoma,1996,17,19,"6,500","8,550",17076
493,Saturn,SL,1997,26,37,,,12309
494,Infiniti,Q45,2008,1.72E+19,2.42E+19,"143,501,270,010,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","127,001,365,013,650,000,000,000,000,000,000,000,000",
495,Honda,Civic,2000,30,35,"3,000","5,500",14096
496,Hyundai,Tiburon,2007,18,26,"8,450","11,750",19970
497,Toyota,Camry,2000,19,27,"3,800","4,275",19938
498,,,,,,,,
499,Honda,Element,2010,19,24,"17,900","21,200",22628
500,Saturn,Ion,2003,24,32,"3,950","5,075",13902
501,Ford,Contour,1998,12,12,"13,460","14,645",15207
502,Hyundai,Elantra,2011,28,38,"14,750","17,000",17570
503,Toyota,Yaris,2007,34,39,"8,100","9,650",12233
504,Mitsubishi,Eclipse,2001,20,27,"17,987","18,797",24407
505,,,,,,,,
506,Honda,Civic,2004,26,30,"5,900","9,200",15790
